Date,Daily Cases,Changes in Daily,Changes in Daily(%)
Feb. 16Ê,"2,132",35,2%
Feb. 15Ê,"2,097",-566,-21%
Feb. 14Ê,"2,663","-2,491",-48%
Feb. 13Ê,"5,154","-8,959",-63%
Feb. 12Ê,"14,113","12,042",581%
Feb. 11Ê,"2,071",-475,-19%
Feb. 10Ê,"2,546",-455,-15%
Feb. 9Ê,"3,001",325,12%
Feb. 8Ê,"2,676",-761,-22%
Feb. 7Ê,"3,437",274,9%
Feb. 6Ê,"3,163",-560,-15%
Feb. 5Ê,"3,723",-202,-5%
Feb. 4Ê,"3,925",686,21%
Feb. 3Ê,"3,239",401,14%
Feb. 2Ê,"2,838",235,9%
Feb. 1Ê,"2,603",476,22%
Jan. 31Ê,"2,127",119,6%
Jan. 30Ê,"2,008",253,14%
Jan. 29Ê,"1,755",278,19%
Jan. 28Ê,"1,477",-304,-17%
Jan. 27Ê,"1,781",996,127%
Jan. 26Ê,785,87,12%
Jan. 25Ê,698,226,48%
Jan. 24Ê,472,207,78%